ts,stage,rps,avg_ms,p50_ms,p95_ms,ok,err
1760094490,overnight,5,40.151,12.796,113.138,0,5
1760094491,overnight,20,7.129,8.253,9.060,0,20
1760094492,overnight,20,8.086,8.114,8.810,0,20
1760094493,overnight,20,7.762,7.762,8.350,0,20
1760094494,overnight,20,7.373,7.335,8.015,0,20
1760094495,overnight,20,7.618,7.117,8.313,0,20
1760094496,overnight,20,7.197,7.243,8.017,0,20
1760094497,overnight,20,6.107,6.355,8.627,0,20
1760094498,overnight,20,6.096,6.453,7.499,0,20
1760094499,overnight,20,5.902,6.411,6.790,0,20
1760094500,breakfast,8,4.031,3.968,4.693,0,8
1760094500,overnight,16,4.952,4.749,6.528,0,16
1760094501,breakfast,50,3.593,3.369,5.012,0,50
1760094502,breakfast,50,3.839,3.680,5.953,0,50
1760094503,breakfast,51,3.552,3.547,4.443,0,51
1760094504,breakfast,49,3.261,3.267,3.799,0,49
1760094505,breakfast,51,3.979,3.660,5.888,0,51
1760094506,breakfast,50,4.202,3.908,6.076,0,50
1760094507,breakfast,50,3.143,2.962,4.739,0,50
1760094508,breakfast,49,3.465,3.088,5.152,0,49
1760094509,breakfast,50,4.053,4.672,5.213,0,50
1760094510,breakfast,43,4.140,4.657,5.076,0,43
1760094510,lunch_peak,17,2.667,2.359,3.069,0,17
1760094511,lunch_peak,160,2.205,2.216,2.699,0,160
1760094512,lunch_peak,160,2.058,2.070,2.636,0,160
1760094513,lunch_peak,160,2.050,2.001,2.545,0,160
1760094514,lunch_peak,160,2.041,2.020,2.982,0,160
1760094515,lunch_peak,160,2.255,2.104,3.561,0,160
1760094516,lunch_peak,160,2.104,1.990,3.185,0,160
1760094517,lunch_peak,160,1.883,1.882,2.478,0,160
1760094518,lunch_peak,160,1.984,1.946,2.316,0,160
1760094519,lunch_peak,160,1.970,1.918,2.714,0,160
1760094520,afternoon,4,2.111,2.222,3.391,0,4
1760094520,lunch_peak,144,2.078,2.016,3.026,0,144
1760094521,afternoon,80,2.186,2.031,3.765,0,80
1760094522,afternoon,80,2.356,2.248,3.367,0,80
1760094523,afternoon,80,2.248,2.135,3.150,0,80
1760094524,afternoon,80,2.313,2.176,4.107,0,80
1760094525,afternoon,80,2.133,1.986,3.133,0,80
1760094526,afternoon,80,2.368,2.088,3.851,0,80
1760094527,afternoon,80,2.407,2.065,3.985,0,80
1760094528,afternoon,80,2.073,2.038,2.696,0,80
1760094529,afternoon,80,2.770,2.268,4.060,0,80
1760094530,afternoon,77,2.168,1.832,3.857,0,77
1760094531,dinner_peak,189,1.770,1.677,2.315,0,189
1760094532,dinner_peak,190,1.708,1.638,2.798,0,190
1760094533,dinner_peak,190,1.777,1.736,2.316,0,190
1760094534,dinner_peak,190,1.759,1.692,2.124,0,190
1760094535,dinner_peak,190,1.755,1.678,2.016,0,190
1760094536,dinner_peak,190,1.822,1.686,2.194,0,190
1760094537,dinner_peak,190,1.723,1.655,2.182,0,190
1760094538,dinner_peak,190,1.683,1.604,2.055,0,190
1760094539,dinner_peak,190,1.673,1.585,2.020,0,190
1760094540,dinner_peak,190,1.643,1.594,1.927,0,190
1760094541,dinner_peak,2,1.783,1.684,1.881,0,2
1760094541,late_evening,57,3.748,3.752,4.151,0,57
1760094542,late_evening,60,3.591,3.743,4.152,0,60
1760094543,late_evening,60,1.992,1.927,2.399,0,60
1760094544,late_evening,60,3.598,3.650,4.195,0,60
1760094545,late_evening,60,3.596,3.663,4.414,0,60
1760094546,late_evening,60,3.345,3.523,3.932,0,60
1760094547,late_evening,60,3.281,3.613,4.016,0,60
1760094548,late_evening,60,2.058,1.897,3.525,0,60
1760094549,late_evening,60,3.107,3.519,3.731,0,60
1760094550,late_evening,60,2.879,3.439,3.889,0,60
1760094551,late_evening,4,1.954,1.984,2.085,0,4
