sim_second,sim_minute,phase,phase_progress,target_rps,sent_total,sent_cpu,sent_file,succ,err,avg_latency_ms,bytes,wall_time
0,0.0,Night,0.0,0.0,0,0,0,0,0,0.0,0,2025-10-10 15:48:00.873540
1,0.016666666666666666,Night,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0.0,0,2025-10-10 15:48:01.873540
2,0.03333333333333333,Night,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0.0,0,2025-10-10 15:48:02.873540
3,0.05,Morning,0.0,0.5,0,0,0,0,0,0.0,0,2025-10-10 15:48:03.873540
4,0.06666666666666667,Morning,0.44444444444444425,1.1666666666666665,1,1,0,1,0,16.656445999615244,15000,2025-10-10 15:48:04.873540
5,0.08333333333333333,Morning,0.8888888888888885,1.8333333333333328,2,2,0,2,0,10.403856500488473,30000,2025-10-10 15:48:05.873540
6,0.1,Lunch,0.4999999999999999,8.5,8,8,0,8,0,12.91831424987322,120000,2025-10-10 15:48:06.873540
7,0.11666666666666667,Afternoon,0.12499999999999956,3.249999999999999,4,4,0,4,0,9.90813850057748,40000,2025-10-10 15:48:07.873540
8,0.13333333333333333,Afternoon,0.6249999999999994,4.249999999999999,4,3,1,4,0,17.01279750022877,1668400,2025-10-10 15:48:08.873540
9,0.15,Dinner,0.16666666666666607,6.666666666666661,7,4,3,7,0,55.69565042813857,14215776,2025-10-10 15:48:09.873540
10,0.16666666666666666,Dinner,0.8333333333333326,13.333333333333325,14,12,2,14,0,23.34897285709303,9617184,2025-10-10 15:48:10.873540
11,0.18333333333333332,Late,0.42857142857142794,2.857142857142856,3,2,1,3,0,12.986269333244612,675360,2025-10-10 15:48:11.873540
